iter	Passed	Remaining
190	17277	887288
191	17380	887854
192	17459	887174
193	17552	887193
194	17654	887709
195	17764	888578
196	17853	888427
197	17946	888438
198	18033	888178
199	18141	888945
200	18244	889465
201	18332	889234
202	18430	889458
203	18516	889137
204	18598	888669
205	18666	887495
206	18754	887248
207	18818	885907
208	18901	885455
209	18995	885561
210	19062	884353
211	19135	883473
212	19211	882719
213	19290	882142
214	19365	881349
215	19444	880755
216	19504	879305
217	19582	878708
218	19660	878061
219	19769	878857
220	19867	879118
221	19949	878689
222	20013	877445
223	20100	877262
224	20169	876244
225	20311	878418
226	20418	879090
227	20514	879245
228	20579	878106
229	20663	877763
230	20749	877488
231	20898	879893
232	21027	881439
233	21180	883972
234	21275	884047
235	21361	883789
236	21452	883707
237	21536	883338
238	21616	882824
239	21700	882505
240	21850	884823
241	21941	884727
242	22017	884051
243	22106	883878
244	22189	883518
245	22276	883291
246	22358	882852
247	22436	882247
248	22523	882026
249	22594	881186
250	22666	880388
251	22750	880047
252	22824	879341
253	22899	878674
254	23026	879985
255	23236	884445
256	23328	884396
257	23425	884550
258	23541	885393
259	23656	886217
260	23785	887539
261	23908	888626
262	24000	888576
263	24112	889250
264	24210	889380
265	24328	890273
266	24429	890524
267	24523	890518
268	24618	890565
269	24775	892833
270	24876	893071
271	24974	893201
272	25054	892675
273	25127	891927
274	25214	891684
275	25287	890919
276	25382	890944
277	25472	890806
278	25563	890704
279	25640	890108
280	25732	890027
281	25833	890233
282	25919	889951
283	26003	889604
284	26074	888828
285	26159	888498
286	26249	888368
287	26332	888003
288	26431	888151
289	26504	887449
290	26584	886972
291	26671	886725
292	26753	886335
293	26848	886366
294	26930	885971
295	27041	886524
296	27129	886335
297	27225	886373
298	27303	885871
299	27383	885409
300	27469	885123
301	27533	884157
302	27617	883839
303	27686	883040
304	27754	882238
305	27825	881490
306	27912	881295
307	28006	881305
308	28082	880745
309	28166	880428
310	28252	880174
311	28333	879793
312	28411	879293
313	28497	879078
314	28598	879284
315	28665	878484
316	28766	878688
317	28870	879013
318	28959	878869
319	29046	878669
320	29129	878317
321	29210	877960
322	29297	877732
323	29378	877356
324	29452	876779
325	29540	876615
326	29641	876824
327	29737	876880
328	29805	876130
329	29912	876522
330	30005	876500
331	30092	876317
332	30183	876218
333	30256	875624
334	30341	875384
335	30422	875000
336	30510	874837
337	30592	874524
338	30706	875077
339	30786	874686
340	30862	874187
341	30976	874769
342	31082	875100
343	31172	875005
344	31268	875061
345	31357	874940
346	31474	875570
347	31591	876207
348	31684	876188
349	31808	876998
350	31929	877748
351	32032	877987
352	32110	877542
353	32206	877579
354	32310	877832
355	32411	878024
356	32506	878046
357	32590	877755
358	32666	877275
359	32765	877379
360	32838	876816
361	32939	876997
362	33019	876618
363	33095	876119
364	33172	875670
365	33249	875195
366	33328	874793
367	33432	875048
368	33503	874445
369	33594	874357
370	33674	873990
371	33758	873735
372	33831	873179
373	33907	872702
374	33971	871938
375	34056	871694
376	34144	871556
377	34235	871455
378	34305	870861
379	34377	870281
380	34430	869263
381	34505	868773
382	34579	868277
383	34667	868130
384	34778	868571
385	34869	868495
386	34971	868696
387	35072	868851
388	35155	868578
389	35240	868370
390	35326	868158
391	35407	867845
392	35490	867586
393	35570	867222
394	35663	867212
395	35743	866866
396	35835	866824
397	35934	866932
398	36011	866536
399	36099	866398
400	36195	866432
401	36277	866145
402	36367	866047
403	36455	865905
404	36533	865524
405	36630	865587
406	36789	867121
407	36910	867748
408	36997	867576
409	37115	868143
410	37226	868525
411	37322	868563
412	37402	868232
413	37482	867902
414	37585	868095
415	37669	867850
416	37809	868899
417	37971	870426
418	38093	871057
419	38207	871505
420	38312	871730
421	38446	872606
422	38538	872531
423	38626	872379
424	38715	872244
425	38801	872035
426	38888	871848
427	39022	872724
428	39116	872695
429	39195	872321
430	39277	872028
431	39361	871785
432	39456	871779
433	39551	871764
434	39678	872469
435	39774	872479
436	39880	872713
437	39981	872843
438	40061	872511
439	40160	872570
440	40248	872413
441	40343	872395
442	40441	872449
443	40522	872145
444	40623	872257
445	40722	872347
446	40803	872026
447	40873	871478
448	40965	871407
449	41091	872054
450	41209	872536
451	41305	872542
452	41392	872350
453	41482	872221
454	41564	871942
455	41651	871753
456	41726	871324
457	41810	871079
458	41897	870904
459	41975	870538
460	42053	870172
461	42123	869631
462	42200	869263
463	42354	870458
464	42488	871242
465	42599	871560
466	42706	871778
467	42806	871863
468	42893	871674
469	42986	871623
470	43071	871392
471	43169	871440
472	43254	871210
473	43334	870886
474	43408	870448
475	43492	870223
476	43579	870042
477	43670	869945
478	43763	869885
479	43863	869961
480	43999	870758
481	44116	871157
482	44235	871621
483	44351	872000
484	44461	872266
485	44548	872081
486	44622	871655
487	44725	871779
488	44842	872173
489	44930	872021
490	45013	871752
491	45101	871603
492	45189	871432
493	45262	870986
494	45367	871155
495	45456	871008
496	45559	871125
497	45645	870925
498	45730	870707
499	45846	871078
500	45953	871272
501	46049	871272
502	46133	871027
503	46226	870971
504	46302	870573
505	46394	870496
506	46471	870125
507	46611	870933
508	46691	870630
509	46810	871037
510	46930	871476
511	47072	872313
512	47219	873230
513	47360	874057
514	47435	873648
515	47583	874585
516	47694	874837
517	47831	875548
518	47985	876591
519	48102	876938
520	48193	876829
521	48315	877265
522	48412	877247
523	48520	877448
524	48648	877981
525	48746	877993
526	48841	877951
