iter	MAE	RMSE
257	0.5991098075	0.8857971113
258	0.5990303113	0.8857223585
259	0.5990190239	0.8857015656
260	0.5989937963	0.8856796707
261	0.5989973941	0.8856782461
262	0.5989847586	0.8856540538
263	0.5989327101	0.8855900916
264	0.598926317	0.8855817965
265	0.5989277338	0.8855763877
266	0.5988954297	0.8855102802
267	0.598855004	0.8854400366
268	0.5988027025	0.8853820278
269	0.5987991946	0.885375851
270	0.5987468814	0.885297979
271	0.5986933124	0.8852459701
272	0.598668921	0.8852239892
273	0.5986456654	0.8851899631
274	0.5986327623	0.8851799238
275	0.5986266191	0.885174709
276	0.5986260446	0.8851695711
277	0.5985566745	0.8850693154
278	0.5985103163	0.8850193259
279	0.5985079907	0.8850146011
280	0.5984477788	0.8849137172
281	0.5984460087	0.8849099073
282	0.5984407022	0.8849011923
283	0.5983825796	0.8848433188
284	0.5983966506	0.8848385941
285	0.5983431323	0.8847779693
286	0.5983239135	0.8847455581
287	0.5982653675	0.8846530116
288	0.5982185639	0.8845595915
289	0.5982194699	0.8845553302
290	0.5981974765	0.8845396048
291	0.5981622381	0.8844817903
292	0.5981195138	0.8844304098
293	0.5980764719	0.8843869872
294	0.598029638	0.8843269216
295	0.5980022176	0.8842942982
296	0.5979851315	0.8842593068
297	0.597974523	0.8842483079
298	0.5979405187	0.8842154644
299	0.5979417761	0.8842095692
300	0.5978892011	0.8841487535
301	0.5978914915	0.8841485674
302	0.5978749776	0.8841234651
303	0.5978053739	0.884029658
304	0.597749651	0.8839584076
305	0.5977502432	0.8839580802
306	0.5977044067	0.8839105068
307	0.5976886142	0.883878084
308	0.5976895805	0.883875255
309	0.5976576565	0.8838343728
310	0.5976009259	0.8837590633
311	0.5975475896	0.8836912179
312	0.5974650077	0.8836650322
313	0.5974100875	0.8835823445
314	0.5973680632	0.8835369949
315	0.5973619553	0.8835301854
316	0.5973450711	0.8835066461
317	0.5972928842	0.8834351074
318	0.597288264	0.8834319034
319	0.5972773832	0.8834219992
320	0.597258748	0.8833990443
321	0.5972244761	0.8833474853
322	0.5972204993	0.8833451056
323	0.5971964655	0.8833113543
324	0.5971965722	0.8833067049
325	0.5971719033	0.8832738431
326	0.597146777	0.8832400826
327	0.5971084042	0.8832137573
328	0.5971042697	0.8832074059
329	0.5970449996	0.8831139395
330	0.5969105871	0.8830788677
331	0.5968758936	0.8830139742
332	0.5968423754	0.8829856518
333	0.5967061721	0.8829451204
334	0.5966383773	0.8828618971
335	0.5966195156	0.8828174015
336	0.5965830335	0.8827788128
337	0.5965380072	0.8827271193
338	0.5964856653	0.8826496393
339	0.596485521	0.8826474636
340	0.5964666814	0.8826092735
341	0.5964547554	0.8825908374
342	0.59643078	0.8825677847
343	0.5964298949	0.882564516
344	0.5964235615	0.8825507949
345	0.5964163558	0.8825478654
346	0.596396864	0.8825216223
347	0.5963975086	0.8825192308
348	0.5963966898	0.8825176523
349	0.5963938377	0.8825149839
350	0.5963187396	0.8823996232
351	0.5962928034	0.8823898303
352	0.59629018	0.8823825572
353	0.5962328937	0.8823284784
354	0.596215193	0.8822944249
355	0.5961611854	0.8822402183
356	0.5961169801	0.882177779
357	0.5960877269	0.8821438022
358	0.5960482371	0.8820943129
359	0.596024005	0.8820661445
360	0.5960227459	0.8820638215
361	0.5960067776	0.8820442772
362	0.5959861817	0.8820158613
363	0.5959769291	0.8820001006
364	0.59593212	0.8819534978
365	0.5959361079	0.8819501079
366	0.595910866	0.8819221378
367	0.595876678	0.8818883727
368	0.5958783861	0.8818772947
369	0.5958284744	0.8817803315
370	0.5958298953	0.8817800088
371	0.5958122712	0.8817585256
372	0.5958127283	0.8817564354
373	0.595781198	0.8817061628
374	0.5957822588	0.8817060831
375	0.5957431218	0.8816503719
376	0.5957067546	0.8815731702
377	0.5956735866	0.8815100323
378	0.5956057951	0.8814405697
379	0.5956014963	0.8814365629
380	0.5955993767	0.8814340842
381	0.5955986606	0.8814331398
382	0.5955989865	0.8814274666
383	0.5955929094	0.8814225414
384	0.5955931101	0.8814211645
385	0.5955917554	0.8814195396
386	0.595566669	0.8813779272
387	0.5955514669	0.8813551847
388	0.5955462093	0.8813439491
389	0.5955443947	0.8813424401
390	0.5955045979	0.8812898592
391	0.5954863957	0.8812715335
392	0.5954311197	0.8811972299
393	0.5954334849	0.8811962319
394	0.5954089647	0.8811627106
395	0.5953973662	0.8811563995
396	0.5953459336	0.8811050462
397	0.5953090451	0.8810421407
398	0.5952690552	0.8810071946
399	0.5952393763	0.8809693484
400	0.5952355583	0.8809648714
401	0.5952111236	0.8809299032
402	0.5951951889	0.880918031
403	0.5951358864	0.8808332535
404	0.5951364014	0.8808264922
405	0.595103763	0.8807981773
406	0.5950811354	0.8807563807
407	0.5950780634	0.8807502912
408	0.5950790834	0.8807484307
409	0.5950434197	0.8807075073
410	0.5949707092	0.8806055809
411	0.5949599609	0.8805801545
412	0.5949133051	0.8805129033
413	0.5948842175	0.8804684349
414	0.5948284448	0.8803921222
415	0.5948233858	0.8803890925
416	0.5948193579	0.8803842728
417	0.5948203601	0.8803788265
418	0.5948140063	0.880368794
419	0.5948075873	0.8803593366
420	0.5947749872	0.8803304868
421	0.5947446528	0.8802829138
422	0.5946096838	0.8802072907
423	0.5946110659	0.880206854
424	0.5945684111	0.8801335104
425	0.5945270582	0.8800625232
426	0.5944820272	0.8800004289
427	0.594426214	0.8799224692
